Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,min,max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Group Ranking?,Field Annotation
trivmo_ph_2_anti_assay_oth,treatment_iv_monthly_beta,,text,"[Phage: ""[pre_phage3_name]""] Other assay type",,,,,,,"[trivmo_ph_2_anti]='1' and [trivmo_ph_2_anti_assay(other)]='1' and ([tre_ph_2_rt(iv)] = '1' or [tre_ph_2_rt(oral)] = '1') and [pre_phage3_name] and [pre_phage3_name] !='' and [pre_num_phage]>2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,@CHARLIMIT='50'
trivmo_ph_2_anti_res,treatment_iv_monthly_beta,,notes,"[Phage: ""[pre_phage3_name]""] Antiphage antibody result",,,,,,,"[trivmo_ph_2_anti]='1' and ([tre_ph_2_rt(iv)] = '1' or [tre_ph_2_rt(oral)] = '1') and [pre_phage3_name] and [pre_phage3_name] !='' and [pre_num_phage]>2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_ph3,treatment_iv_monthly_beta,,descriptive,"<div class=""header"">Phage: ""[pre_phage4_name]""</div>",,,,,,,"([tre_ph_3_rt(iv)] = '1' or [tre_ph_3_rt(oral)] = '1') and [pre_phage4_name] and [pre_phage4_name] !='' and [pre_num_phage]>3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_ph_3_anti,treatment_iv_monthly_beta,,yesno,"[Phage: ""[pre_phage4_name]""] Antiphage antibodies tested (yes/no)?",,,,,,,"([tre_ph_3_rt(iv)] = '1' or [tre_ph_3_rt(oral)] = '1') and [pre_phage4_name] and [pre_phage4_name] !='' and [pre_num_phage]>3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_ph_3_anti_assay,treatment_iv_monthly_beta,,checkbox,"[Phage: ""[pre_phage4_name]""] Assay types used?","neutralising,Neutralising antibody assay | igmigg, IgM/IgG assay | other,Other please specify",,,,,,"[trivmo_ph_3_anti]='1' and ([tre_ph_3_rt(iv)] = '1' or [tre_ph_3_rt(oral)] = '1') and [pre_phage4_name] and [pre_phage4_name] !='' and [pre_num_phage]>3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_ph_3_anti_assay_oth,treatment_iv_monthly_beta,,text,"[Phage: ""[pre_phage4_name]""] Other assay type",,,,,,,"[trivmo_ph_3_anti]='1' and [trivmo_ph_3_anti_assay(other)]='1' and ([tre_ph_3_rt(iv)] = '1' or [tre_ph_3_rt(oral)] = '1') and [pre_phage4_name] and [pre_phage4_name] !='' and [pre_num_phage]>3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,@CHARLIMIT='50'
trivmo_ph_3_anti_res,treatment_iv_monthly_beta,,notes,"[Phage: ""[pre_phage4_name]""] Antiphage antibody result",,,,,,,"[trivmo_ph_3_anti]='1' and ([tre_ph_3_rt(iv)] = '1' or [tre_ph_3_rt(oral)] = '1') and [pre_phage4_name] and [pre_phage4_name] !='' and [pre_num_phage]>3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_ph4,treatment_iv_monthly_beta,,descriptive,"<div class=""header"">Phage: ""[pre_phage5_name]""</div>",,,,,,,"([tre_ph_4_rt(iv)] = '1' or [tre_ph_4_rt(oral)] = '1') and [pre_phage5_name] and [pre_phage5_name] !='' and [pre_num_phage]>4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_ph_4_anti,treatment_iv_monthly_beta,,yesno,"[Phage: ""[pre_phage5_name]""] Antiphage antibodies tested (yes/no)?",,,,,,,"([tre_ph_4_rt(iv)] = '1' or [tre_ph_4_rt(oral)] = '1') and [pre_phage5_name] and [pre_phage5_name] !='' and [pre_num_phage]>4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_ph_4_anti_assay,treatment_iv_monthly_beta,,checkbox,"[Phage: ""[pre_phage5_name]""] Assay types used?","neutralising,Neutralising antibody assay | igmigg, IgM/IgG assay | other,Other please specify",,,,,,"[trivmo_ph_4_anti]='1' and ([tre_ph_4_rt(iv)] = '1' or [tre_ph_4_rt(oral)] = '1') and [pre_phage5_name] and [pre_phage5_name] !='' and [pre_num_phage]>4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_ph_4_anti_assay_oth,treatment_iv_monthly_beta,,text,"[Phage: ""[pre_phage5_name]""] Other assay type",,,,,,,"[trivmo_ph_4_anti]='1' and [trivmo_ph_4_anti_assay(other)]='1' and ([tre_ph_4_rt(iv)] = '1' or [tre_ph_4_rt(oral)] = '1') and [pre_phage5_name] and [pre_phage5_name] !='' and [pre_num_phage]>4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,@CHARLIMIT='50'
trivmo_ph_4_anti_res,treatment_iv_monthly_beta,,notes,"[Phage: ""[pre_phage5_name]""] Antiphage antibody result",,,,,,,"[trivmo_ph_4_anti]='1' and ([tre_ph_4_rt(iv)] = '1' or [tre_ph_4_rt(oral)] = '1') and [pre_phage5_name] and [pre_phage5_name] !='' and [pre_num_phage]>4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth1_descriptive,treatment_iv_monthly_beta,,descriptive,"<div class=""header"">Pathogen 1 ""[pre_pth1_target]""</div>",,,,,,,"[pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_pth_1_iso,treatment_iv_monthly_beta,,radio,[Pathogen 1: [pre_pth1_target]] Pathogen isolated from site of infection?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_1_iso_na_desc,treatment_iv_monthly_beta,,notes,[Pathogen 1: [pre_pth1_target]] How come isolation wasn't performed?,,,,,,,"[trivmo_pth_1_iso] = 'na' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_1_iso_lyt_conf,treatment_iv_monthly_beta,,radio,[Pathogen 1: [pre_pth1_target]] Is ongoing lytic activity of phage(s) confirmed?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[trivmo_pth_1_iso] = 'isolated' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_1_iso_lyt_conf_r_d,treatment_iv_monthly_beta,,notes,[Pathogen 1: [pre_pth1_target]] Please specify anti-phage resistance activity,,,,,,,"[trivmo_pth_1_iso_lyt_conf] = 'resistance' and [trivmo_pth_1_iso] = 'isolated' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_1_iso_oth,treatment_iv_monthly_beta,,radio,[Pathogen 1: [pre_pth1_target]] Pathogen isolated from other site?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_1_iso_oth_site,treatment_iv_monthly_beta,,text,[Pathogen 1: [pre_pth1_target]] Specify other site where pathogen was isolated,,,,,,,"[trivmo_pth_1_iso_oth] = 'isolated' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_1_iso_oth_lyt_conf,treatment_iv_monthly_beta,,radio,[Pathogen 1: [pre_pth1_target]] Is ongoing lytic activity of phage(s) confirmed at [trivmo_pth_1_iso_oth_site]?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[trivmo_pth_1_iso_oth_site] and [trivmo_pth_1_iso] = 'isolated' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_1_iso_oth_lyt_conf_r_d,treatment_iv_monthly_beta,,notes,[Pathogen 1: [pre_pth1_target]] Please specify anti-phage resistance activity,,,,,,,"[trivmo_pth_1_iso_oth_lyt_conf] = 'resistance' and [trivmo_pth_1_iso] = 'isolated' and [pre_num_target_pathogen] > 0 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth2_descriptive,treatment_iv_monthly_beta,,descriptive,"<div class=""header"">Pathogen 2 ""[pre_pth2_target]""</div>",,,,,,,"[pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_pth_2_iso,treatment_iv_monthly_beta,,radio,[Pathogen 2: [pre_pth2_target]] Pathogen isolated from site of infection?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_2_iso_na_desc,treatment_iv_monthly_beta,,notes,[Pathogen 2: [pre_pth2_target]] How come isolation wasn't performed?,,,,,,,"[trivmo_pth_2_iso] = 'na' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_2_iso_lyt_conf,treatment_iv_monthly_beta,,radio,[Pathogen 2: [pre_pth2_target]] Is ongoing lytic activity of phage(s) confirmed?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[trivmo_pth_2_iso] = 'isolated' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_2_iso_lyt_conf_r_d,treatment_iv_monthly_beta,,notes,[Pathogen 2: [pre_pth2_target]] Please specify anti-phage resistance activity,,,,,,,"[trivmo_pth_2_iso_lyt_conf] = 'resistance' and [trivmo_pth_2_iso] = 'isolated' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_2_iso_oth,treatment_iv_monthly_beta,,radio,[Pathogen 2: [pre_pth2_target]] Pathogen isolated from other site?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_2_iso_oth_site,treatment_iv_monthly_beta,,text,[Pathogen 2: [pre_pth2_target]] Specify other site where pathogen was isolated,,,,,,,"[trivmo_pth_2_iso_oth] = 'isolated' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_2_iso_oth_lyt_conf,treatment_iv_monthly_beta,,radio,[Pathogen 2: [pre_pth2_target]] Is ongoing lytic activity of phage(s) confirmed at [trivmo_pth_2_iso_oth_site]?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[trivmo_pth_2_iso_oth_site] and [trivmo_pth_2_iso] = 'isolated' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_2_iso_oth_lyt_conf_r_d,treatment_iv_monthly_beta,,notes,[Pathogen 2: [pre_pth2_target]] Please specify anti-phage resistance activity,,,,,,,"[trivmo_pth_2_iso_oth_lyt_conf] = 'resistance' and [trivmo_pth_2_iso] = 'isolated' and [pre_num_target_pathogen] > 1 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth3_descriptive,treatment_iv_monthly_beta,,descriptive,"<div class=""header"">Pathogen 3 ""[pre_pth3_target]""</div>",,,,,,,"[pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_pth_3_iso,treatment_iv_monthly_beta,,radio,[Pathogen 3: [pre_pth3_target]] Pathogen isolated from site of infection?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_3_iso_na_desc,treatment_iv_monthly_beta,,notes,[Pathogen 3: [pre_pth3_target]] How come isolation wasn't performed?,,,,,,,"[trivmo_pth_3_iso] = 'na' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_3_iso_lyt_conf,treatment_iv_monthly_beta,,radio,[Pathogen 3: [pre_pth3_target]] Is ongoing lytic activity of phage(s) confirmed?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[trivmo_pth_3_iso] = 'isolated' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_3_iso_lyt_conf_r_d,treatment_iv_monthly_beta,,notes,[Pathogen 3: [pre_pth3_target]] Please specify anti-phage resistance activity,,,,,,,"[trivmo_pth_3_iso_lyt_conf] = 'resistance' and [trivmo_pth_3_iso] = 'isolated' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_3_iso_oth,treatment_iv_monthly_beta,,radio,[Pathogen 3: [pre_pth3_target]] Pathogen isolated from other site?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_3_iso_oth_site,treatment_iv_monthly_beta,,text,[Pathogen 3: [pre_pth3_target]] Specify other site where pathogen was isolated,,,,,,,"[trivmo_pth_3_iso_oth] = 'isolated' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_3_iso_oth_lyt_conf,treatment_iv_monthly_beta,,radio,[Pathogen 3: [pre_pth3_target]] Is ongoing lytic activity of phage(s) confirmed at [trivmo_pth_3_iso_oth_site]?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[trivmo_pth_3_iso_oth_site] and [trivmo_pth_3_iso] = 'isolated' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_3_iso_oth_lyt_conf_r_d,treatment_iv_monthly_beta,,notes,[Pathogen 3: [pre_pth3_target]] Please specify anti-phage resistance activity,,,,,,,"[trivmo_pth_3_iso_oth_lyt_conf] = 'resistance' and [trivmo_pth_3_iso] = 'isolated' and [pre_num_target_pathogen] > 2 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth4_descriptive,treatment_iv_monthly_beta,,descriptive,"<div class=""header"">Pathogen 4 ""[pre_pth4_target]""</div>",,,,,,,"[pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_pth_4_iso,treatment_iv_monthly_beta,,radio,[Pathogen 4: [pre_pth4_target]] Pathogen isolated from site of infection?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_4_iso_na_desc,treatment_iv_monthly_beta,,notes,[Pathogen 4: [pre_pth4_target]] How come isolation wasn't performed?,,,,,,,"[trivmo_pth_4_iso] = 'na' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_4_iso_lyt_conf,treatment_iv_monthly_beta,,radio,[Pathogen 4: [pre_pth4_target]] Is ongoing lytic activity of phage(s) confirmed?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[trivmo_pth_4_iso] = 'isolated' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_4_iso_lyt_conf_r_d,treatment_iv_monthly_beta,,notes,[Pathogen 4: [pre_pth4_target]] Please specify anti-phage resistance activity,,,,,,,"[trivmo_pth_4_iso_lyt_conf] = 'resistance' and [trivmo_pth_4_iso] = 'isolated' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_4_iso_oth,treatment_iv_monthly_beta,,radio,[Pathogen 4: [pre_pth4_target]] Pathogen isolated from other site?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_4_iso_oth_site,treatment_iv_monthly_beta,,text,[Pathogen 4: [pre_pth4_target]] Specify other site where pathogen was isolated,,,,,,,"[trivmo_pth_4_iso_oth] = 'isolated' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_4_iso_oth_lyt_conf,treatment_iv_monthly_beta,,radio,[Pathogen 4: [pre_pth4_target]] Is ongoing lytic activity of phage(s) confirmed at [trivmo_pth_4_iso_oth_site]?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[trivmo_pth_4_iso_oth_site] and [trivmo_pth_4_iso] = 'isolated' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_4_iso_oth_lyt_conf_r_d,treatment_iv_monthly_beta,,notes,[Pathogen 4: [pre_pth4_target]] Please specify anti-phage resistance activity,,,,,,,"[trivmo_pth_4_iso_oth_lyt_conf] = 'resistance' and [trivmo_pth_4_iso] = 'isolated' and [pre_num_target_pathogen] > 3 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth5_descriptive,treatment_iv_monthly_beta,,descriptive,"<div class=""header"">Pathogen 5 ""[pre_pth5_target]""</div>",,,,,,,"[pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_pth_5_iso,treatment_iv_monthly_beta,,radio,[Pathogen 5: [pre_pth5_target]] Pathogen isolated from site of infection?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_5_iso_na_desc,treatment_iv_monthly_beta,,notes,[Pathogen 5: [pre_pth5_target]] How come isolation wasn't performed?,,,,,,,"[trivmo_pth_5_iso] = 'na' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_5_iso_lyt_conf,treatment_iv_monthly_beta,,radio,[Pathogen 5: [pre_pth5_target]] Is ongoing lytic activity of phage(s) confirmed?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[trivmo_pth_5_iso] = 'isolated' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_5_iso_lyt_conf_r_d,treatment_iv_monthly_beta,,notes,[Pathogen 5: [pre_pth5_target]] Please specify anti-phage resistance activity,,,,,,,"[trivmo_pth_5_iso_lyt_conf] = 'resistance' and [trivmo_pth_5_iso] = 'isolated' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_5_iso_oth,treatment_iv_monthly_beta,,radio,[Pathogen 5: [pre_pth5_target]] Pathogen isolated from other site?,"isolated,Isolated | not_isolated, Not isolated | na, Not performed",,,,,,"[pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_5_iso_oth_site,treatment_iv_monthly_beta,,text,[Pathogen 5: [pre_pth5_target]] Specify other site where pathogen was isolated,,,,,,,"[trivmo_pth_5_iso_oth] = 'isolated' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_5_iso_oth_lyt_conf,treatment_iv_monthly_beta,,radio,[Pathogen 5: [pre_pth5_target]] Is ongoing lytic activity of phage(s) confirmed at [trivmo_pth_5_iso_oth_site]?,"1,Yes | 0,Not tested | resistance,Evidence of anti-phage resistance",,,,,,"[trivmo_pth_5_iso_oth_site] and [trivmo_pth_5_iso] = 'isolated' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_pth_5_iso_oth_lyt_conf_r_d,treatment_iv_monthly_beta,,notes,[Pathogen 5: [pre_pth5_target]] Please specify anti-phage resistance activity,,,,,,,"[trivmo_pth_5_iso_oth_lyt_conf] = 'resistance' and [trivmo_pth_5_iso] = 'isolated' and [pre_num_target_pathogen] > 4 and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_wgs,treatment_iv_monthly_beta,WGS,yesno,[Month [trivmo_mth]] Is WGS data available for current isolate?,,,,,,,"([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_wgs_loc,treatment_iv_monthly_beta,,notes,[Month [trivmo_mth]] Where is the WGS data stored?,,,,,,,"[trivmo_wgs]='1' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_rnatr,treatment_iv_monthly_beta,,radio,[Month [trivmo_mth]] RNA (immune panel) transcriptomics performed?,"yes, Yes/Sample obtained + stored | not_analysed,Sample processed but not analysed | no,No",,,,,,"([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_rnatr_loc,treatment_iv_monthly_beta,,notes,[Month [trivmo_mth]] Where is the RNA transcriptomics data stored?,,,,,,,"[trivmo_rnatr]='yes' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_rnatr_sample_loc,treatment_iv_monthly_beta,,notes,[Month [trivmo_mth]] Where is the RNA transcriptomics sample stored?,,,,,,,"([trivmo_rnatr]='yes' or [trivmo_rnatr]='not_analysed') and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_metag_samples,treatment_iv_monthly_beta,Metagenomics,yesno,[Month [trivmo_mth]] Are clinical samples available for metagenomics?,,,,,,,"([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_metag_type,treatment_iv_monthly_beta,,text,[Month [trivmo_mth]] Specify type of sample,,,,,,,"[trivmo_metag_samples]='1' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_metag_has,treatment_iv_monthly_beta,,radio,[Month [trivmo_mth]] Have metagenomics been performed?,"1,Yes | 0, No, samples stored",,,,,,"[trivmo_metag_samples]='1' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_metag_data_loc,treatment_iv_monthly_beta,,notes,[Month [trivmo_mth]] Where is the metagenome data stored?,,,,,,,"[trivmo_metag_has]='1' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_metag_sample_loc,treatment_iv_monthly_beta,,notes,[Month [trivmo_mth]] Where is the sample stored?,,,,,,,"[trivmo_metag_has]='0' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_kino_pre_plaque,treatment_iv_monthly_beta,Pre-dose / morning,text,[Pre-Dose] Phage result plaque assay (XX PFU/mL),,,integer,,,,"([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",,,,,,
trivmo_kino_pre_plaque_na,treatment_iv_monthly_beta,,checkbox,[Pre-Dose] Are plaque assays not available?,"na, Plaque assays are NOT available ",,,,,,"[trivmo_kino_pre_plaque] = '' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"")",y,,,,,
trivmo_kino_pre_ph_qpcr,treatment_iv_monthly_beta,,text,[Pre-Dose] Phage qPCR results (XX genome copies/mL),,,integer,,,,"([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"") ",,,,,,
trivmo_kino_pre_ph_qpcr_na,treatment_iv_monthly_beta,,checkbox,[Pre-Dose] Are phage qPCR results not available?,"na, Phage qPCR results are NOT available ",,,,,,"[trivmo_kino_pre_ph_qpcr] = '' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"") ",y,,,,,
trivmo_kino_pre_bact_qpcr,treatment_iv_monthly_beta,,text,[Pre-Dose] Bacterial load qPCR results (XX genome copies/mL),,,integer,,,,"([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"") ",,,,,,
trivmo_kino_pre_bact_qpcr_na,treatment_iv_monthly_beta,,checkbox,[Pre-Dose] Are bacterial load qPCR results not available?,"na, Phage qPCR results are NOT available ",,,,,,"[trivmo_kino_pre_bact_qpcr] = '' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"") ",y,,,,,
trivmo_kino_post_ph_qpcr,treatment_iv_monthly_beta,30-60 minutes post-dose,text,[30-60 minutes post-dose] Phage qPCR results (XX genome copies/mL),,,integer,,,,"([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"") and [trivmo_phage_stop_mo] = ""0""",,,,,,
trivmo_kino_post_ph_qpcr_na,treatment_iv_monthly_beta,,checkbox,[30-60 minutes post-dose] Are phage qPCR results not available?,"na, Phage qPCR results are NOT available ",,,,,,"[trivmo_kino_post_ph_qpcr] = '' and ([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"") and [trivmo_phage_stop_mo] = ""0""",y,,,,,
trivmo_kino_post_bact_qpcr,treatment_iv_monthly_beta,,text,[30-60 minutes post-dose] Bacterial load qPCR results (XX genome copies/mL),,,integer,,,,"([trivmo_phage_cont] = ""1"" or [trivmo_phage_stop_mo] = ""1"") and [trivmo_phage_stop_mo] = ""0""",,,,,,
